time,open,high,low,close,tick_volume,spread,real_volume
2026-04-20 11:15:00+00:00,4788.95,4792.39,4786.33,4791.9,2801,30,0
2026-04-20 11:30:00+00:00,4791.82,4792.35,4788.49,4792.18,2005,30,0
2026-04-20 11:45:00+00:00,4792.23,4796.12,4791.96,4796.06,2859,30,0
2026-04-20 12:00:00+00:00,4796.09,4797.74,4793.3,4795.69,3073,30,0
2026-04-20 12:15:00+00:00,4795.63,4795.71,4791.56,4792.19,2519,34,0
2026-04-20 12:30:00+00:00,4792.47,4794.16,4783.29,4791.88,3209,30,0
2026-04-20 12:45:00+00:00,4791.85,4797.03,4789.07,4791.44,2519,30,0
2026-04-20 13:00:00+00:00,4791.43,4799.47,4789.8,4795.61,3147,30,0
2026-04-20 13:15:00+00:00,4795.63,4800.77,4795.1,4798.06,2251,30,0
2026-04-20 13:30:00+00:00,4798.15,4799.88,4794.87,4794.9,1657,30,0
2026-04-20 13:45:00+00:00,4795.02,4797.0,4794.27,4795.6,1917,30,0
2026-04-20 14:00:00+00:00,4795.68,4796.12,4786.85,4789.61,3228,30,0
2026-04-20 14:15:00+00:00,4789.53,4790.85,4786.43,4788.21,2566,30,0
2026-04-20 14:30:00+00:00,4788.33,4794.54,4787.58,4794.54,2779,30,0
2026-04-20 14:45:00+00:00,4794.75,4810.77,4794.61,4810.35,3854,30,0
2026-04-20 15:00:00+00:00,4810.39,4812.99,4802.85,4811.01,4348,30,0
2026-04-20 15:15:00+00:00,4811.03,4822.01,4803.74,4805.42,4402,30,0
2026-04-20 15:30:00+00:00,4805.4,4809.33,4798.91,4805.98,3675,30,0
2026-04-20 15:45:00+00:00,4806.0,4808.33,4800.9,4803.24,2896,30,0
2026-04-20 16:00:00+00:00,4803.25,4816.73,4799.58,4815.31,5518,30,0
2026-04-20 16:15:00+00:00,4815.41,4825.76,4811.89,4824.3,4608,30,0
2026-04-20 16:30:00+00:00,4824.33,4826.25,4815.77,4822.36,6730,30,0
2026-04-20 16:45:00+00:00,4822.35,4824.3,4816.88,4817.67,5840,30,0
2026-04-20 17:00:00+00:00,4817.71,4818.26,4806.74,4815.99,6319,30,0
2026-04-20 17:15:00+00:00,4815.86,4826.72,4814.24,4823.29,5829,30,0
2026-04-20 17:30:00+00:00,4823.2,4827.47,4810.27,4813.96,5881,30,0
2026-04-20 17:45:00+00:00,4813.99,4814.78,4792.54,4805.07,6910,30,0
2026-04-20 18:00:00+00:00,4805.17,4807.24,4792.59,4798.15,6770,30,0
2026-04-20 18:15:00+00:00,4798.06,4809.36,4793.99,4807.98,6037,30,0
2026-04-20 18:30:00+00:00,4808.27,4809.16,4799.48,4800.18,5047,30,0
2026-04-20 18:45:00+00:00,4800.12,4801.55,4795.3,4799.63,4104,30,0
2026-04-20 19:00:00+00:00,4799.67,4801.41,4794.19,4798.29,3250,30,0
2026-04-20 19:15:00+00:00,4798.34,4801.76,4792.74,4801.05,3786,30,0
2026-04-20 19:30:00+00:00,4801.2,4804.37,4798.73,4801.78,3245,30,0
2026-04-20 19:45:00+00:00,4802.04,4806.31,4801.62,4805.45,2787,30,0
2026-04-20 20:00:00+00:00,4805.59,4810.41,4803.72,4808.67,3443,30,0
2026-04-20 20:15:00+00:00,4808.75,4811.13,4806.18,4809.89,3263,34,0
2026-04-20 20:30:00+00:00,4809.94,4811.99,4804.97,4809.36,4341,30,0
2026-04-20 20:45:00+00:00,4809.31,4809.64,4805.6,4806.6,2939,42,0
